GoldID;QID;Definining Formula Wikidata;Working LaTeX Input 1;Working LaTeX Input 2;Defining Formula Sympy 1;Defining Formula Sympy 2;Trafo 1;Trafo 2;Trafo 3;Trafo 4;Trafo 5;TODO;;Comment
328;Q166530;v_{\text{e}} = \sqrt{\frac{2GM}{r}} = \sqrt{2gr};-;-;-;;\text{x} -> x;;;;;;;\frac{2ab}{d}-> (2*a*b)/d (\frac{2ab}{c} does not work but \frac{2ab}{C} works well), \sqrt{2ab} -> sqrt(2*a*b) works.
329;Q875744;\frac{\mathrm{d}}{\mathrm{d} t}\left(\frac{\partial L}{\partial \dot{q}_{j}}\right)=\frac{\partial L}{\partial q_{j}};-;-;-;;;;;;;;;\mathrm{d} t -> dt, q_{j} -> q_j works well. {q}_{j} -> q does not work.
330;Q11402;\mathbf{F} = \frac{\mathrm{d} \mathbf{p}}{\mathrm{d} t};;;;;;;;;;;;\mathrm{d} t -> dt, q_{j} -> q_j, \left( \frac{x}{y}\right) -> x/y works well. \dot{q} and \dot q, {q}_{j} -> q does not work.
331;Q1068463;p^\mu=\begin{matrix}p_0 \\ p_1 \\ p_2 \\ p_3 \end{matrix} = \begin{matrix}E/c \\ p_x \\ p_y \\ p_z \end{matrix} = \begin{matrix}E/c \\ \vec p \end{matrix};-;-;-;;;;;;;;;p^mu -> p**mu works well. I also refer <https://notes.orangex4.cool/?git=github&github=OrangeX4/latex2sympy>.
332;Q1322540;\mathbf{U} \equiv \frac{d \mathbf{R}}{d \tau};U \equiv \frac{d R}{d \tau};;Eq(U, Derivative(R, tau));;\mathbf{x} -> x;\mathbf{x} -> x;;;;;;a \equiv b -> Eq(a, b), \tau -> tau works well.
333;Q140028;v(t)=-gt+v_{0};v = -gt+v_{0};;#NAME?;;v(t) -> v_t;;;;;;;
334;Q11652;f = \frac{1}{T};f = \frac{1}{T};;1*1/T;;;;;;;;;
335;Q82580;F_{\mathrm{kf}} = \mu_{\mathrm{kf}} F_\mathrm{N};;;;;\mathrm{x} -> x;;;;;;;\mathrm works only for \mathrm{d}.
336;Q219207;(t,\mathbf x) \mapsto (t+s,\mathsf R\mathbf x + \mathbf vt + \mathbf y);-;-;-;;;;;;;;;nothing works.
337;Q6806305;p_i = \frac{\partial L}{\partial \dot{q}_i};-;-;-;;;;;;;;;"only ""p_i"" works. If we remove \partial and \dot, then meaning of the equation significantly changes."
338;Q30006;\vec{g}=-\frac{Gm_\oplus}{{R_\oplus}^2} \hat{r};;;;;;;;;;;;nothing works.
339;Q11412;\vec{F}_g = - \frac{G m_1 m_2}{r^2} \hat{r};;;;;;;;;;;;
340;Q1544012;U=-\frac{GMm}{r};-;-;-;;;;;;;;;For -\frac{GMm}{r} substituting -\frac{abC}{d} works.
341;Q660488;\mathcal{H}\left(\mathbf{q},\mathbf{p},t\right) = \mathbf{p}\cdot\dot{\mathbf{q}} - \mathcal{L}\left(\mathbf{q},\dot{\mathbf{q}},t\right);-;-;-;;\mathcal{x} -> x;\mathbf{x} -> x;;;;;;nothing works.
342;Q1060137;\frac{\partial S}{\partial t}=-H;\frac{d S}{d t};#NAME?;Derivative(S, t);;\partial -> d;;;;;;;
343;Q170282;F= k X;F= k X;;X*k;;;;;;;x;;
344;Q497332;\vec \zeta(t) = \frac {\mathrm {d}}{\mathrm {d}t}\vec{\alpha}(t)=\dot{\vec\alpha}(t);-;-;-;;;;;;;;;\zeta(t)-> t*zeta does not work.
345;Q46276;T = \frac{1}{2} m v^2;T = \frac{1}{2} m v^2;;1*1/2*m*v**2;;;;;;;;;
346;Q103687426;\mathcal{L}  = T-V;T-V;;T - V;;\mathcal{x} -> x;;;;;;;
347;Q599404;\gamma = \frac{1}{\sqrt{1 - v^2/c^2}};\gamma = \frac{1}{\sqrt{1 - V^2/C^2}};;1*1/(sqrt(1 - V**2/C**2));;;;;;;;;"Change the case of ""v"" and ""c""."
348;Q172137;\mathbf{F} = q(\mathbf{E} + \mathbf{v} \times \mathbf{B});-;-;-;;\vec{x} -> x;;;;;;;
349;Q217255;t' = \gamma \left( t - \frac{v x}{c^2} \right)  x' = \gamma \left( x - v t \right);t' = \gamma \left( T - \frac{V X}{C^2} \right);x' = \gamma \left( X - V T \right);gamma*(T - V*X/C**2);gamma*(-T*V + X);;;;;;;;
350;Q35875;E = m c^2;E = m C^2;;C**2*m;;;;;;;;;"Change the case of ""c"" to ""C""."
351;Q6421317;Z_{\mathrm{m}} = Z_{\mathrm{a}} A^2;Z_m = Z_a A^2;;Z_m;A**2*Z_a;\mathrm{x} -> x;;;;;;;
352;Q165618;J_{\mathrm{Q}} = \int r_{\mathrm{Q}}^{2} \mathrm{d} m;J_Q = \int x_{y}^2 \mathrm{d} m;;J_Q;Integral(x_y**2, x);;;;;;x;;\mathrm{d} m supress in the final output.
353;Q41273;\mathbf{p} = m \mathbf{v};p = m v;;m*v;;\mathbf{x} -> x;;;;;;;
354;Q2397319;\vec{F} = m \cdot \vec{a};F = m \cdot a;;a*m;;\vec{x} -> x;;;;;;;
355;Q3235565;\mathbf{F}_{12}=-\mathbf{F}_{21};F_{12} = - F_{21};;F_{12}=-F_{21};;\mathbf{x} -> x;;;;;;;
356;Q170475;z(t) = A \mathrm{e}^{-\zeta \omega_0 t} \sin \left( \sqrt{1 - \zeta^2} \omega_0 t + \varphi \right);-;-;-;-;;;;;;;;\zeta -> zeta, \omega -> omega, \varphi -> varphi works well. 
357;Q20702;\frac{\mathrm{d}^2\theta}{\mathrm{d}t^2} + \frac{g}{l}\sin\theta = 0;\frac{\mathrm{d}^2\theta}{\mathrm{d}t^2};\frac{g}{l}\sin \theta;(d**2*theta)/dt**2;g*sin(theta)/l;;;;;;;;Both terms of left hand side together could not produce correct SymPy output.
358;Q25342;P = \frac{\mathrm{d} E}{\mathrm{d} t};P = \frac{\mathrm{d} e}{\mathrm{d} t};;Derivative(E, t);;;;;;;;;"Change the case of ""E"" to ""e""."
359;Q240105;\omega = \frac{d\phi}{dt} = \frac{v_\perp}{r};\omega = \frac{d\phi}{dt};\omega = \frac{V}{R};Derivative(phi, t);V/R;;;;;;;;"Change the case of ""v"" and ""r"" to ""V"" and ""R""."
360;Q11663629;E_0 = m_0 c_0^2;e_0 = m_0 \times C_0^2;;C_0**2*m_0;;E -> e;c -> C;;;;;;"Change the case of ""E"" to ""e"" and ""c"" to ""C""."
361;Q96941619;(m_\mathrm{rest})c^2=\sqrt{E_\mathrm{total}^2-(|\mathbf{p}|c)^2};(m)C^2=\sqrt{E^2-(|p|C)^2};;C**2*m;;E -> Energy (expected);;;;;;;"Due to ""E"" term convert to ""exponential""."
362;Q676622;\mathit{Ro} = \frac{v}{2 l \omega_{\mathrm{E}} \sin{\varphi}};R_o = \frac{v}{2 l \omega_{e} \sin{\varphi}};;R_o;v/((2*l*omega_e*sin(varphi)));\mathit{x} -> x;xo -> x_o;\mathrm{x} -> {x};;;x;;
363;Q3711325;v = s / t;v = s / t;;s/t;;;;;;;;;
364;Q2111;c=f\lambda;C=f\lambda;;f*lambda;;c -> C;;;;;;;
365;Q12507;x^2+y^2+z^2=r^2;x^2+y^2+z^2 = R^2;;x**2 + y**2 + z**2;R**2;r -> R;;;;;;;
366;Q3299367;\psi(x,t) = A \cos (k x - \omega t+\varphi);A \cos (k x - \omega t+\varphi);;A*cos(k*x - omega*t + varphi);;;;;;;;;\psi(x,t) does not work. Anything in the form of f(x) does not work.
367;Q824561;F_d = 6\pi\,\mu\,R\,V;F_d = 6 \pi \mu R V;;F_d;6*pi*R*V*mu;;;;;;;;
368;Q206175;\sigma = \frac{F}{A};\sigma = \frac{d F}{d A};;sigma;Derivative(F, A);;;;;;;;
369;Q2822927;\alpha = \frac{dv_{\perp}}{dt};\alpha = \frac{d v}{d t};;alpha;Derivative(v, t);;;;;;;;
370;Q103715245;v = \omega r;v = \omega R;;v;R*omega;r -> R;;;;;;;
371;Q48103;T = \mathbf{M} \cdot \mathbf{e}_{\mathrm{Q}};T = M \cdot X_{Q};;T;M*X_Q;E -> X;\mathbf{x} -> x;\mathrm{x} -> x;;;;;
372;Q376742;\mathbf{s} = \mathbf{v}t;s = v t;;s ;t*v;\mathbf{x} -> x;;;;;;;
373;Q11465;\mathbf{v} = \frac{\mathrm{d} \mathbf{r}}{\mathrm{d} t};v = \frac{\mathrm{d} R}{\mathrm{d} t};;v;\frac{\mathrm{d} R}{\mathrm{d} t};r -> R;;;;;;;
374;Q192510;\sigma = 1/\lambda;\sigma = 1/\lambda;;sigma ;1*1/lambda;;;;;;;;
375;Q42213;A = \int_{\Gamma} \mathbf{F} \cdot \mathrm{d} \mathbf{r};A =  F \cdot \mathrm{d} R;;A ;F*dR;remove \int_{x} ;;;;;;;
