GoldID;Identifier symbol;Identifier name;Formula QID;Identifier QID;ISQ dimension (P4020);recommended unit of measurement (P8111);numeric value (P1181)
348;magnetic field;B;;;;;
349;t';time;;;;;
349;\gamma;Lorentz factor;;;;;
349;v;velocity;;;;;
349;x;location;;;;;
349;c;speed of light;;;;;
349;time;t';;;;;
349;Lorentz factor;\gamma;;;;;
349;velocity;v;;;;;
349;location;x;;;;;
349;speed of light;c;;;;;
350;E;energy;;;;;
350;m;mass;;;;;
350;c;speed of light;;;;;
350;energy;E;;;;;
350;mass;m;;;;;
350;speed of light;c;;;;;
351;Z;mechanical impedance;;;;;
351;Z;acoustic impedance;;;;;
351;A;area;;;;;
351;mechanical impedance;Z;;;;;
351;acoustic impedance;Z;;;;;
351;area;A;;;;;
352;J;moment of inertia;;;;;
352;r;radial distance;;;;;
352;m;mass;;;;;
352;moment of inertia;J;;;;;
352;radial distance;r;;;;;
352;mass;m;;;;;
353;p;momentum;;;;;
353;m;mass;;;;;
353;v;velocity;;;;;
353;momentum;p;;;;;
353;mass;m;;;;;
353;velocity;v;;;;;
354;F;force;;;;;
354;m;mass;;;;;
354;a;acceleration;;;;;
354;force;F;;;;;
354;mass;m;;;;;
354;acceleration;a;;;;;
355;F;force;;;;;
355;force;F;;;;;
356;z;linear strain;;;;;
356;A;amplitude;;;;;
356;\zeta;damping ratio;;;;;
356;\omega;angular velocity;;;;;
356;t;duration;;;;;
356;\varphi;phase;;;;;
356;linear strain;z;;;;;
356;amplitude;A;;;;;
356;damping ratio;\zeta;;;;;
356;angular velocity;\omega;;;;;
356;duration;t;;;;;
356;phase;\varphi;;;;;
357;\theta;angular displacement;;;;;
357;t;duration;;;;;
357;g;gravitational acceleration;;;;;
357;l;length;;;;;
357;angular displacement;\theta;;;;;
357;duration;t;;;;;
357;gravitational acceleration;g;;;;;
357;length;l;;;;;
358;P;power;;;;;
358;E;energy;;;;;
358;t;duration;;;;;
358;power;P;;;;;
358;energy;E;;;;;
358;duration;t;;;;;
359;\omega;radial velocity;;;;;
359;\phi;angle;;;;;
359;t;duration;;;;;
359;v;velocity;;;;;
359;r;radius;;;;;
359;radial velocity;\omega;;;;;
359;angle;\phi;;;;;
359;duration;t;;;;;
359;velocity;v;;;;;
359;radius;r;;;;;
360;E;rest energy;;;;;
360;m;rest mass;;;;;
360;c;speed of light;;;;;
360;rest energy;E;;;;;
360;rest mass;m;;;;;
360;speed of light;c;;;;;
361;m;mass;;;;;
361;c;speed of light;;;;;
361;E;energy;;;;;
361;p;momentum;;;;;
361;mass;m;;;;;
361;speed of light;c;;;;;
361;energy;E;;;;;
361;momentum;p;;;;;
362;R;Rossby number;;;;;
362;v;speed;;;;;
362;l;characteristic length;;;;;
362;E;Earth's angular frequency;;;;;
362;\sin;sine;;;;;
362;\varphi;latitude;;;;;
362;Rossby number;R;;;;;
362;speed;v;;;;;
362;characteristic length;l;;;;;
362;Earth's angular frequency;E;;;;;
362;sine;\sin;;;;;
362;latitude;\varphi;;;;;
363;v;speed;;;;;
363;s;distance;;;;;
363;t;duration;;;;;
363;speed;v;;;;;
363;distance;s;;;;;
363;duration;t;;;;;
364;c;speed of light;;;;;
364;f;frequency;;;;;
364;\lambda;wavelength;;;;;
364;speed of light;c;;;;;
364;frequency;f;;;;;
364;wavelength;\lambda;;;;;
365;x;coordinate;;;;;
365;y;coordinate;;;;;
365;z;coordinate;;;;;
365;r;radius;;;;;
365;coordinate;x;;;;;
365;coordinate;y;;;;;
365;coordinate;z;;;;;
365;radius;r;;;;;
366;\psi;linear strain;;;;;
366;A;amplitude;;;;;
366;k;wavenumber;;;;;
366;x;location;;;;;
366;\omega;angular velocity;;;;;
366;t;duration;;;;;
366;\varphi;phase;;;;;
366;linear strain;\psi;;;;;
366;amplitude;A;;;;;
366;wavenumber;k;;;;;
366;location;x;;;;;
366;angular velocity;\omega;;;;;
366;duration;t;;;;;
366;phase;\varphi;;;;;
367;F;fictitious force;;;;;
367;\pi;pi;;;;;
367;\mu;dynamic viscosity;;;;;
367;R;radius;;;;;
367;V;flow velocity;;;;;
367;fictitious force;F;;;;;
367;pi;\pi;;;;;
367;dynamic viscosity;\mu;;;;;
367;radius;R;;;;;
367;flow velocity;V;;;;;
368;\sigma;stress;;;;;
368;F;force;;;;;
368;A;area;;;;;
368;stress;\sigma;;;;;
368;force;F;;;;;
368;area;A;;;;;
369;\alpha;angular acceleration;;;;;
369;v;velocity;;;;;
369;t;duration;;;;;
369;angular acceleration;\alpha;;;;;
369;velocity;v;;;;;
369;duration;t;;;;;
370;v;velocity;;;;;
370;\omega;angular velocity;;;;;
370;r;radius;;;;;
370;velocity;v;;;;;
370;angular velocity;\omega;;;;;
370;radius;r;;;;;
371;T;torque;;;;;
371;M;moment of force;;;;;
371;e;unit vector;;;;;
371;torque;T;;;;;
371;moment of force;M;;;;;
371;unit vector;e;;;;;
372;s;displacement;;;;;
372;v;velocity;;;;;
372;t;duration;;;;;
372;displacement;s;;;;;
372;velocity;v;;;;;
372;duration;t;;;;;
373;v;velocity;;;;;
373;r;position vector;;;;;
373;t;duration;;;;;
373;velocity;v;;;;;
373;position vector;r;;;;;
373;duration;t;;;;;
374;\sigma;wavenumber;;;;;
374;\lambda;wavelength;;;;;
374;wavenumber;\sigma;;;;;
374;wavelength;\lambda;;;;;
375;A;work;;;;;
375;F;force;;;;;
375;r;position vector;;;;;
375;work;A;;;;;
375;force;F;;;;;
375;position vector;r;;;;;
