GoldID;QID;Name;Application;Example question
350;Q35875;mass–energy equivalence;electron;The mass of an electron is 9.1 \times 10^-31 kg. How much is the rest energy of an electron in electron volts?
351;Q6421317;mechanical impedance;;
352;Q165618;moment of inertia;flywheel;A flywheel is solid, uniform disk of mass 3 kg and radius 10 \times 10^-2 m. What is moment of inertia of the flywheel?
353;Q41273;momentum;space rocket;During takeoff a rocket has mass (including fuel) 2 \times 10^6 kg and its velocity is 140 m s^-1. What is the momentum of a rocket?
354;Q2397319;Newton's second law of motion for constant mass;any mass;The mass of the block is 20 kg. If mass is pulled in vertically upwards direction with force 400 N. What is the acceleration of the block? ( Assume no other forces are present, e.g. gravitation)
355;Q3235565;Newton's third law of motion;polar bear;A 200 kg polar bear is standing still near frozen lake in Svalbard, Norway. The acceleration due to gravity at that place is approximately 9.8 m \times s^-2. What is the magnitude of the force with which the polar bear pulls on the Earth?
356;Q170475;oscillation;;
357;Q20702;pendulum;;
358;Q25342;power;mascular power;A man runs up the stairs from ground level to the top of building. He spends 4.2 \times 10^5 J energy to reach the top in 600 s. How much muscular power utilises by man? 
359;Q240105;radial velocity;centrifuge ;The radius of the centrifuge is 15 \times 10^-2 m and it spins at 270 pi rad s^-1. What is radial velocity of an object moving at the outer edge?
360;Q11663629;rest energy;electron;The mass of an electron is 9.109 \times 10^-31 kg. Speed of light is 2.998 \times 10^8 m s^-1. What is magnitude of rest energy associated with the electron?
361;Q96941619;rest mass;neutron;The rest energy associated with the neutron is 1.5054277 \times 10^-10 J. Speed of light is 2.998 \times 10^8 m s^-1. What is magnitude of rest mass of neutron?
362;Q676622;Rossby number;Earth;For the Earth speed at equator, characteristic length, earth's angular frequency and latitude is 10 ms^-1, 6 \times 10^6 m, 7.292 \times 10^-5 rad s^-1 and 45 degrees. What is the value of Rossby number for the Earth?
363;Q3711325;speed;Car;A car drives with a speed of 3 m/s. How much distance can it cover in 1 s?
364;Q2111;speed of light;gamma rays;In an electromagnetic spectrum a hard gamma rays has wavelength 1 \times 10^-18 m and frequency 3 \times 10^26 s^-1. What is the speed of light?
365;Q12507;sphere;sphere;A sphere has centre at origin. The cartesian co-ordinates of arbitrary point on it surface are (1,2,3). What is the radius of the sphere? 
366;Q3299367;Spherical pendulum;spherical pendulum;The amplitude, wavenumber, angular velocity and phase for spherical pendulum is 0.5 m, pi/3 rad m^-1, 2*pi/3 rad s^-1 and pi/2 respectively. What is linear strain in the spherical pendulum at the instant of when location is 2 m and time is 5 s?
367;Q824561;Stokes' law;pollen grain;During experiment light weight pollen grains dropped inside a clear glass cylinder and observed their motion with a microscope. A radius of 15 \times 10^-6 m pollen grain was observed to fall at a rate of 4.7 \times 10^-2 m s^-1. A dynamic viscosity of air inside glass cylinder is 1.849 \times 10^-5 kg m^-1 s^-1. What is magnitudeof frictional force exerting on pollen grains?
368;Q206175;stress;femur bone;A cross-section area of the bone in the femur of 784 N person is 5.1 \times 10^-4 m^-2. What is the net stress on the femur?
369;Q2822927;tangential acceleration;sprocket-wheel;A tip of sprocket-wheel of racing changes the magnitude of tangential velocity from rest to 30 m s^-1 in 1.2 s. What is magnitude of the tangential acceleration of a tip of sprocket-wheel?
370;Q103715245;tangential velocity;blade of wind turbine;The tip of a large wind turbine blade is at distance of 40 m from centre of axis of rotation. The magnitude of angular velocity of the blade is 2 rad s^-1. What is the magnitude of tangential velocity? 
371;Q48103;torque;door of bank valut ;To open a giant door of bank vault needs minimum torque of 35 N m when a tangential force F is applied at a distance 1.3 m from the axis of rotation. What is magnitude of force F?
372;Q376742;uniform motion;yacht;A yacht makes a short rectilinear trips between two nearby islands with constant velocity of magnitude 14.4 m s^-1 in 372 s. What is the displacement of a yacht in one way trip?
373;Q11465;velocity;athlete;An athelete sprints in a straight line for 100 m in 9.2 s. What is his velocity?
374;Q192510;wavenumber;microwave oven;A household microwave oven operates at the wavelength of 12.24 * 10^-2 m. What is the value of corresponding wavenumber?
375;Q42213;work;sled;A dog tugs a sled 5 m on snowy track at a constant speed with  the force of 300 N. How much work does the dog do?
